customer_id,first_name,last_name,email,city,state,segment,join_date,is_active
CUST_00001,Sarah,Harris,john62@example.net,Stephenland,Alabama,Wholesale,2022-10-18,True
CUST_00002,Christine,Hart,jonesjason@example.com,West Nicole,Kansas,Wholesale,2021-04-15,True
CUST_00003,Justin,Kim,cheryl80@example.net,Sarahville,Florida,Online,2019-07-02,True
CUST_00004,Darrell,Rodriguez,josephjacobs@example.net,Jamesview,North Carolina,Wholesale,2023-04-24,True
CUST_00005,John,Odonnell,davisrodney@example.com,North Matthewberg,South Dakota,Online,2019-06-16,True
CUST_00006,Evan,Ramos,hhoffman@example.org,New Barry,Mississippi,Wholesale,2024-11-28,True
CUST_00007,Angela,Jordan,parkerrachel@example.org,Jasonbury,Texas,Wholesale,2016-09-30,False
CUST_00008,Michael,Castro,vdickson@example.org,Port Francisco,Idaho,Wholesale,2022-01-05,True
CUST_00009,Angel,Doyle,kimberly63@example.com,Port Jacqueline,Missouri,Retail,2015-08-29,True
CUST_00010,Michele,Walker,ybailey@example.org,North Donna,Montana,Retail,2020-08-01,True
CUST_00011,Joshua,Jones,michael86@example.net,Sheilaville,Kentucky,Retail,2018-01-14,True
CUST_00012,Beverly,Terrell,rodriguezryan@example.net,Samuelhaven,Delaware,Retail,2021-07-21,True
CUST_00013,Rachel,Lee,fletcheraaron@example.net,West Ryan,Texas,Wholesale,2020-08-13,True
CUST_00014,Cindy,Alvarado,cortezkevin@example.com,Nguyenport,Oklahoma,Wholesale,2017-03-01,True
CUST_00015,James,Ortega,lbyrd@example.net,Richardtown,Maryland,Wholesale,2019-11-18,True
CUST_00016,Jason,Floyd,steven73@example.net,Leonburgh,Texas,Online,2016-06-10,False
CUST_00017,Justin,Beck,clarence34@example.org,East Andrew,Kansas,Retail,2023-01-31,True
CUST_00018,Cheryl,Mack,operry@example.net,Lake Heather,New York,Retail,2021-10-19,True
CUST_00019,John,Douglas,staffordmichelle@example.org,Robinsonhaven,New Jersey,Online,2015-11-09,True
CUST_00020,Angela,Lowery,bryantlaurie@example.net,Stephaniemouth,South Carolina,Online,2023-08-03,True
CUST_00021,Ronald,Meadows,vmerritt@example.com,Greenbury,South Dakota,Wholesale,2019-09-20,True
